"","X1","easting","northing","stream_order","elevation"
"1798",5767,6157797.5,2105618.1405,3,157.339996337891
"1799",5768,6158385.5,2105618.1405,6,134.020004272461
"1800",5769,6158760.5,2105618.1405,3,134.699996948242
"1801",5770,6159120.5,2105618.1405,3,134.960006713867
"1802",5771,6159744.5,2105618.1405,3,166.460006713867
"1803",5772,6159747.5,2105618.1405,3,166.130004882812
"1804",5779,6166077.5,2105618.1405,3,401.649993896484
"1805",5780,6168684.5,2105618.1405,4,343.589996337891
"1806",5784,6170964.5,2105618.1405,3,444.309997558594
"1807",5785,6172863.5,2105618.1405,3,294.670013427734
"1808",5787,6175011.5,2105618.1405,3,252.100006103516
"1809",5788,6175614.5,2105618.1405,6,226.949996948242
"1810",5789,6175830.5,2105618.1405,4,227.059997558594
"1811",5790,6175833.5,2105618.1405,4,227.059997558594
"1812",5804,6180612.5,2105618.1405,4,394.920013427734
"1813",5814,6185043.5,2105618.1405,3,792.429992675781
"1814",5822,6187878.5,2105618.1405,4,744.099975585938
"1815",5824,6189321.5,2105618.1405,5,820.950012207031
"1816",5829,6192450.5,2105618.1405,3,1054.52001953125
"1817",5834,6157800.5,2105615.1405,3,158.490005493164
"1818",5835,6158388.5,2105615.1405,6,133.539993286133
"1819",5836,6158757.5,2105615.1405,3,134.630004882812
"1820",5837,6159120.5,2105615.1405,3,135.059997558594
"1821",5838,6159738.5,2105615.1405,3,166.360000610352
"1822",5839,6159741.5,2105615.1405,3,166.460006713867
"1823",5846,6166077.5,2105615.1405,3,401.470001220703
"1824",5847,6168684.5,2105615.1405,4,343.589996337891
"1825",5851,6170961.5,2105615.1405,3,444.029998779297
"1826",5852,6172866.5,2105615.1405,3,295.179992675781
"1827",5854,6175011.5,2105615.1405,3,252.100006103516
"1828",5855,6175611.5,2105615.1405,6,227.190002441406
"1829",5856,6175614.5,2105615.1405,4,226.899993896484
"1830",5857,6175827.5,2105615.1405,4,227.029998779297
"1831",5872,6180615.5,2105615.1405,4,395.829986572266
"1832",5882,6185043.5,2105615.1405,3,792.619995117188
"1833",5890,6187875.5,2105615.1405,4,743.969970703125
"1834",5891,6189318.5,2105615.1405,5,820.700012207031
"1835",5896,6192447.5,2105615.1405,3,1054.2099609375
"1836",5902,6157803.5,2105612.1405,3,158.889999389648
"1837",5903,6158391.5,2105612.1405,6,133.720001220703
